Course,Module,Year Of Study,Semester,Academic Year,Student ID,Name,% Attendance,Grade,Moodle Activity
BSC,IWD,1,1,2021,B7550,,66.7%,93.4,780
BSC,IWD,1,1,2021,F1099,,61.1%,96.8,631
BSC,IWD,1,1,2021,F2659,,100.0%,39.8,1390
BSC,IWD,1,1,2021,F3428,,10.5%,49.3,547
BSC,IWD,1,1,2021,F6784,,0.0%,,2
BSC,IWD,1,1,2021,F7209,,0.0%,,
BSC,IWD,1,1,2021,F7902,,68.4%,59.7,730
BSC,IWD,1,1,2021,F8495,,68.4%,76.1,765
BSC,IWD,1,1,2021,F8824,,50.0%,51.3,872
BSC,IWD,1,1,2021,F9319,,70.6%,82.9,971
BSC,IWD,1,1,2021,G0378,,55.6%,53.4,336
BSC,IWD,1,1,2021,G1579,,31.3%,61.01,648
BSC,IWD,1,1,2021,G1828,,26.7%,4,159
BSC,IWD,1,1,2021,G2278,,89.5%,68.85,624
BSC,IWD,1,1,2021,G2395,,100.0%,80.3,876
BSC,IWD,1,1,2021,G2567,,31.3%,15.79,474
BSC,IWD,1,1,2021,G2921,,71.4%,1.98,147
BSC,IWD,1,1,2021,G3223,,50.0%,6,240
BSC,IWD,1,1,2021,G4926,,80.0%,1.6,54
BSC,IWD,1,1,2021,G5088,,76.5%,63.7,483
BSC,IWD,1,1,2021,G6534,,75.0%,78.2,991
BSC,IWD,1,1,2021,G6830,,72.2%,63.05,653
BSC,RWD,1,2,2021,B7550,,81.3%,66.38,620
BSC,RWD,1,2,2021,F1099,,72.2%,71.9,441
BSC,RWD,1,2,2021,F2659,,77.8%,29.97,1108
BSC,RWD,1,2,2021,F3428,,0.0%,0,65
BSC,RWD,1,2,2021,F6784,,0.0%,,2
BSC,RWD,1,2,2021,F7209,,0.0%,,
BSC,RWD,1,2,2021,F7902,,55.6%,55.61,875
BSC,RWD,1,2,2021,F8495,,11.1%,0,220
BSC,RWD,1,2,2021,F8824,,50.0%,6.51,555
BSC,RWD,1,2,2021,F9319,,50.0%,60.38,684
BSC,RWD,1,2,2021,G0378,,22.2%,0,60
BSC,RWD,1,2,2021,G1579,,38.9%,52.41,1037
BSC,RWD,1,2,2021,G1828,,0.0%,,
BSC,RWD,1,2,2021,G2278,,90.0%,74.09,966
BSC,RWD,1,2,2021,G2395,,88.9%,47.18,913
BSC,RWD,1,2,2021,G2567,,11.1%,16.35,574
BSC,RWD,1,2,2021,G2921,,0.0%,,1
BSC,RWD,1,2,2021,G3223,,0.0%,,
