Year,VLE Activity
1,742
1,643
1,315
1,401
1,402
1,810
1,434
1,2
1,803
1,138
1,263
1,640
1,234
1,551
1,431
1,544
1,18
1,771
1,458
1,366
1,541
1,1246
1,268
1,403
1,424
1,740
1,557
1,387
1,13
1,508
2,305
2,663
2,459
2,299
2,135
2,504
2,400
2,658
2,249
2,431
2,186
3,320
3,322
3,544
3,42
3,502
3,267
3,469
3,382
3,229
3,14
3,313
3,457
3,601
3,211
3,300
3,417
3,277
3,193
3,1
3,427
3,306
3,480
3,394
3,707
3,9
3,607
3,480
3,209
3,597
3,210
3,666
3,678
3,322
3,81
3,402
3,535
3,369
3,375
3,195
3,620
3,613
3,579
3,322
3,271
3,589
3,96
3,698
3,482
3,451
3,767
3,285
3,522
3,704
3,260
3,234
3,524
3,583
3,309
3,1026
3,409
3,407
3,533
3,532
3,367
3,76
3,489
3,321
3,313
3,310
3,632
3,390
3,333
3,5
3,71
3,745
3,395
3,228
3,467
3,538
3,563
3,365
3,394
3,228
3,255
3,852
3,539
3,175
3,486
3,315
3,355
3,206
3,249
3,650
3,879
3,291
3,198
3,231
4,185
4,70
4,506
4,411
4,470
4,364
4,237
4,472
4,197
4,482
4,198
4,352
4,444
