Student id,Engagement
258798,1
258800,44
258803,30
258804,2
258807,1
258809,5
258810,1
258811,8
258812,1
258813,1
258814,2
258815,2
258816,1
258817,1
258818,106
258819,2
258822,30
258824,1
258826,1
258827,1
258828,1
258829,1
258830,1
258831,1
258832,19
258833,1
258834,2
258837,6
258840,3
258841,2
258845,40
258846,1
258848,1
258849,2
258851,2
258852,1
258855,1
258857,2
258860,2
258861,3
258862,44
258865,24
258869,1
258870,3
258871,1
258872,3
258876,9
258878,5
258879,1
258880,6
258881,2
258882,1
258883,6
258884,1
258885,5
258887,1
258888,1
258890,1
258892,3
258893,2
258894,2
258895,2
258897,1
258902,3
258903,2
258904,9
258905,1
258906,15
258907,2
258908,15
258910,2
258912,4
258913,60
258914,1
258915,5
258916,20
258917,2
258920,2
258922,23
258924,10
258925,1
258927,2
258929,5
258930,26
258933,2
258936,2
258939,1
258940,2
258947,1
258951,9
258954,1
258955,23
258956,33
258957,1
258959,1
258960,1
258962,1
258965,1
258967,1
258969,1
258970,2
258971,34
258973,1
258974,2
258979,2
258980,19
258982,1
258984,35
258987,1
258989,1
258991,1
258993,1
258994,6
258996,6
258997,2
258998,1
258999,1
259000,4
259001,2
259002,6
259005,4
259008,1
259011,79
259012,5
259014,1
259015,11
259017,1
259018,1
259019,19
259020,2
259022,1
259024,4
259025,2
259026,49
259028,10
259029,2
259032,1
259033,1
259034,6
259035,1
259036,1
259039,21
259040,1
259041,1
259042,10
259043,4
259045,1
259046,2
259047,3
259048,1
259051,1
259054,7
259055,1
259056,1
259057,2
259058,1
259059,1
259060,5
259062,2
259063,1
259065,1
259067,3
259068,3
259069,2
259070,22
259071,4
259072,1
259077,1
259078,1
259079,1
259080,5
259084,2
259085,1
259086,1
259088,7
259090,2
259093,3
259095,1
259097,2
259098,3
259099,1
259101,2
259102,1
259103,1
259104,1
259105,13
259106,90
259108,5
259110,5
259113,2
259114,1
259115,1
259116,2
259118,7
259121,4
259123,5
259125,2
259126,1
259127,1
259132,3
259133,1
259134,2
259137,1
259138,1
259143,3
259144,1
259145,1
259146,1
259149,2
259150,1
259152,3
259155,13
259156,1
259158,1
259160,2
259164,1
259165,1
259166,1
259167,3
259170,1
259171,13
259172,2
259174,161
259178,5
259180,4
259181,1
259183,3
259184,1
259187,3
259188,2
259190,3
259191,1
259192,1
259195,2
259196,1
259198,7
259199,2
259201,1
259203,3
259204,1
259205,3
259207,2
259209,13
259210,4
259211,6
259213,1
259214,2
259217,2
259222,1
259223,1
259225,1
259226,3
259229,5
259231,1
259232,2
259233,3
259239,5
259240,2
259242,2
259244,2
259246,2
259247,4
259250,1
259254,6
259257,1
259258,77
259260,9
259261,3
259262,57
259264,5
259266,2
259267,2
259268,28
259269,4
259271,4
259273,3
259274,1
259275,1
259276,2
259278,4
259283,160
259284,7
259286,1
259289,2
259297,11
259298,1
259299,2
259300,37
259305,23
259306,1
259307,2
259311,1
259315,1
259316,1
259317,3
259318,3
259319,1
259322,2
259325,1
259326,1
259328,6
259329,2
259333,1
259337,1
259343,2
259344,2
259345,2
259349,1
259350,7
259351,2
259354,5
259355,1
259356,2
259360,1
259361,15
259364,7
259365,1
259366,5
259371,2
259372,1
259374,2
259378,4
259379,1
259382,1
259383,6
259384,4
259385,1
259386,1
259387,1
259388,1
259390,3
259393,11
259395,5
259398,10
259400,2
259401,5
259402,5
259403,1
259407,1
259408,10
259410,2
259412,2
259418,7
259421,1
259422,2
259424,2
259426,6
259427,18
259429,87
259433,2
259435,3
259436,3
259437,6
259440,1
259441,4
259442,1
259443,1
259445,4
259446,2
259447,6
259451,5
259452,1
259454,6
259456,1
259457,2
259458,1
259459,1
259460,5
